year,city,scenario,temperature_f,precip_mm
1981,San Diego,ssp585,61.54,1.1833
1982,San Diego,ssp585,61.77,1.0294
1983,San Diego,ssp585,61.36,0.77
1984,San Diego,ssp585,59.71,0.7903
1985,San Diego,ssp585,59.6,0.9116
1986,San Diego,ssp585,61.5,0.9023
1987,San Diego,ssp585,60.34,1.101
1988,San Diego,ssp585,60.52,0.8064
1989,San Diego,ssp585,61.59,1.1167
1990,San Diego,ssp585,62.1,1.289
1991,San Diego,ssp585,63.62,0.6918
1992,San Diego,ssp585,62.77,0.6485
1993,San Diego,ssp585,61.79,0.631
1994,San Diego,ssp585,61.29,0.8606
1995,San Diego,ssp585,61.53,0.7134
1996,San Diego,ssp585,61.56,0.5813
1997,San Diego,ssp585,61.92,0.4728
1998,San Diego,ssp585,61.04,1.1556
1999,San Diego,ssp585,61.78,1.2509
2000,San Diego,ssp585,62.51,0.8405
2001,San Diego,ssp585,61.16,1.2772
2002,San Diego,ssp585,61.26,1.2901
2003,San Diego,ssp585,62.77,0.9862
2004,San Diego,ssp585,62.2,1.0405
2005,San Diego,ssp585,62.47,1.0982
2006,San Diego,ssp585,62.47,0.5801
2007,San Diego,ssp585,61.91,0.6962
2008,San Diego,ssp585,62.86,1.0479
2009,San Diego,ssp585,61.82,0.8037
2010,San Diego,ssp585,62.49,0.663
2011,San Diego,ssp585,63.43,0.8562
2012,San Diego,ssp585,62.91,1.0182
2013,San Diego,ssp585,62.24,1.0174
2014,San Diego,ssp585,62.6,0.5568
2015,San Diego,ssp585,63.27,0.7387
2016,San Diego,ssp585,62.46,1.0303
2017,San Diego,ssp585,63.03,1.0472
2018,San Diego,ssp585,62.08,0.8649
2019,San Diego,ssp585,63.27,0.7067
2020,San Diego,ssp585,64.14,0.7014
2021,San Diego,ssp585,62.87,1.2298
2022,San Diego,ssp585,62.17,1.3192
2023,San Diego,ssp585,61.8,0.6647
2024,San Diego,ssp585,62.39,0.412
2025,San Diego,ssp585,61.3,0.743
2026,San Diego,ssp585,63.27,0.6581
2027,San Diego,ssp585,64.34,0.5475
2028,San Diego,ssp585,62.21,1.0076
2029,San Diego,ssp585,62.66,0.9865
2030,San Diego,ssp585,64.63,0.4796
2031,San Diego,ssp585,63.94,0.827
2032,San Diego,ssp585,63.62,1.5891
2033,San Diego,ssp585,63.82,1.0151
2034,San Diego,ssp585,62.57,0.6466
2035,San Diego,ssp585,64.27,0.7977
2036,San Diego,ssp585,62.36,1.1702
2037,San Diego,ssp585,63.7,0.5828
2038,San Diego,ssp585,64.0,0.6613
2039,San Diego,ssp585,64.26,0.5939
2040,San Diego,ssp585,64.3,0.7911
2041,San Diego,ssp585,64.99,0.9883
2042,San Diego,ssp585,65.91,0.8573
2043,San Diego,ssp585,64.73,0.6882
2044,San Diego,ssp585,63.92,0.7696
2045,San Diego,ssp585,63.66,0.8038
2046,San Diego,ssp585,63.53,0.6084
2047,San Diego,ssp585,62.87,0.6439
2048,San Diego,ssp585,64.1,0.7118
2049,San Diego,ssp585,64.31,0.9748
2050,San Diego,ssp585,65.07,0.7347
2051,San Diego,ssp585,65.22,0.588
2052,San Diego,ssp585,65.2,0.581
2053,San Diego,ssp585,65.01,0.4226
2054,San Diego,ssp585,65.8,0.839
2055,San Diego,ssp585,66.02,1.0526
2056,San Diego,ssp585,66.27,0.6807
2057,San Diego,ssp585,66.2,0.4583
2058,San Diego,ssp585,65.09,0.6036
2059,San Diego,ssp585,65.21,0.8318
2060,San Diego,ssp585,66.6,0.4166
2061,San Diego,ssp585,65.38,0.7138
2062,San Diego,ssp585,65.86,0.4269
2063,San Diego,ssp585,65.12,0.8705
2064,San Diego,ssp585,65.78,1.5572
2065,San Diego,ssp585,65.5,1.1297
2066,San Diego,ssp585,65.85,0.9534
2067,San Diego,ssp585,65.25,1.0695
2068,San Diego,ssp585,65.77,1.0319
2069,San Diego,ssp585,65.59,1.333
2070,San Diego,ssp585,65.12,1.2291
2071,San Diego,ssp585,65.5,0.9052
2072,San Diego,ssp585,66.55,0.7318
2073,San Diego,ssp585,65.04,0.9925
2074,San Diego,ssp585,65.5,1.1744
2075,San Diego,ssp585,66.02,1.3468
2076,San Diego,ssp585,66.33,0.9149
2077,San Diego,ssp585,66.03,0.7403
2078,San Diego,ssp585,66.95,0.8437
2079,San Diego,ssp585,65.97,0.9417
2080,San Diego,ssp585,66.19,0.603
2081,San Diego,ssp585,66.64,1.2537
2082,San Diego,ssp585,66.86,1.6623
2083,San Diego,ssp585,67.53,1.0863
2084,San Diego,ssp585,66.71,0.9166
2085,San Diego,ssp585,66.02,1.0832
2086,San Diego,ssp585,66.72,1.1162
2087,San Diego,ssp585,67.85,1.1756
2088,San Diego,ssp585,67.43,1.1803
2089,San Diego,ssp585,68.09,1.0198
2090,San Diego,ssp585,67.6,1.0656
2091,San Diego,ssp585,67.22,0.9865
2092,San Diego,ssp585,67.57,0.9455
2093,San Diego,ssp585,68.1,1.3817
2094,San Diego,ssp585,67.3,1.1982
2095,San Diego,ssp585,67.86,0.6688
2096,San Diego,ssp585,69.22,0.5373
2097,San Diego,ssp585,69.34,0.3929
2098,San Diego,ssp585,68.29,1.1257
2099,San Diego,ssp585,67.78,1.3814
2100,San Diego,ssp585,69.51,0.9185
1950,Los Angeles,ssp585,58.43,1.3342
1951,Los Angeles,ssp585,60.14,1.1708
1952,Los Angeles,ssp585,58.89,1.1752
1953,Los Angeles,ssp585,58.92,0.9877
1954,Los Angeles,ssp585,60.6,1.2213
1955,Los Angeles,ssp585,60.55,0.8498
1956,Los Angeles,ssp585,58.74,0.8724
1957,Los Angeles,ssp585,59.64,1.3239
1958,Los Angeles,ssp585,59.48,1.8654
1959,Los Angeles,ssp585,56.97,2.1889
1960,Los Angeles,ssp585,59.34,0.7774
1961,Los Angeles,ssp585,58.48,1.1396
1962,Los Angeles,ssp585,57.24,1.2441
1963,Los Angeles,ssp585,58.4,1.136
1964,Los Angeles,ssp585,58.49,0.7619
1965,Los Angeles,ssp585,59.08,1.1131
1966,Los Angeles,ssp585,56.88,1.6316
1967,Los Angeles,ssp585,57.25,1.3285
1968,Los Angeles,ssp585,59.1,0.9777
1969,Los Angeles,ssp585,60.03,0.6589
1970,Los Angeles,ssp585,58.47,1.1674
1971,Los Angeles,ssp585,58.89,1.1174
1972,Los Angeles,ssp585,58.99,0.8609
1973,Los Angeles,ssp585,60.02,0.6875
1974,Los Angeles,ssp585,59.54,0.8627
1975,Los Angeles,ssp585,59.06,0.8184
1976,Los Angeles,ssp585,58.31,1.1372
1977,Los Angeles,ssp585,58.43,2.2347
1978,Los Angeles,ssp585,56.84,2.607
1979,Los Angeles,ssp585,58.68,1.8055
1980,Los Angeles,ssp585,59.85,1.2063
1981,Los Angeles,ssp585,58.03,1.3324
1982,Los Angeles,ssp585,58.39,1.4011
1983,Los Angeles,ssp585,58.26,1.1007
1984,Los Angeles,ssp585,56.92,1.1016
1985,Los Angeles,ssp585,56.97,1.0609
1986,Los Angeles,ssp585,59.06,1.1814
1987,Los Angeles,ssp585,57.42,1.3756
1988,Los Angeles,ssp585,57.99,1.2666
1989,Los Angeles,ssp585,58.93,1.5555
1990,Los Angeles,ssp585,58.44,1.7819
1991,Los Angeles,ssp585,60.21,1.2617
1992,Los Angeles,ssp585,59.76,1.0058
1993,Los Angeles,ssp585,58.94,0.8085
1994,Los Angeles,ssp585,58.21,1.1058
1995,Los Angeles,ssp585,58.84,0.9204
1996,Los Angeles,ssp585,59.92,0.7745
1997,Los Angeles,ssp585,59.3,0.7129
1998,Los Angeles,ssp585,57.51,1.5666
1999,Los Angeles,ssp585,58.51,1.6872
2000,Los Angeles,ssp585,60.09,1.2068
2001,Los Angeles,ssp585,58.25,1.765
2002,Los Angeles,ssp585,58.22,1.5985
2003,Los Angeles,ssp585,60.34,1.0525
2004,Los Angeles,ssp585,59.28,1.5806
2005,Los Angeles,ssp585,60.04,1.4476
2006,Los Angeles,ssp585,59.78,0.8841
2007,Los Angeles,ssp585,59.31,0.7782
2008,Los Angeles,ssp585,60.49,1.0921
2009,Los Angeles,ssp585,59.07,1.1593
2010,Los Angeles,ssp585,59.55,0.972
2011,Los Angeles,ssp585,60.79,1.0949
2012,Los Angeles,ssp585,59.89,1.3136
2013,Los Angeles,ssp585,59.64,1.3582
2014,Los Angeles,ssp585,60.92,0.698
2015,Los Angeles,ssp585,61.6,1.1668
2016,Los Angeles,ssp585,59.76,1.3425
2017,Los Angeles,ssp585,59.62,1.6152
2018,Los Angeles,ssp585,58.91,1.3634
2019,Los Angeles,ssp585,60.07,1.1483
2020,Los Angeles,ssp585,61.61,1.0177
2021,Los Angeles,ssp585,60.27,1.5111
2022,Los Angeles,ssp585,59.58,1.6283
2023,Los Angeles,ssp585,59.63,0.77
2024,Los Angeles,ssp585,60.81,0.4757
2025,Los Angeles,ssp585,59.19,0.8426
2026,Los Angeles,ssp585,60.93,0.8364
2027,Los Angeles,ssp585,62.47,0.7717
2028,Los Angeles,ssp585,59.84,1.3136
2029,Los Angeles,ssp585,59.77,1.5514
2030,Los Angeles,ssp585,62.51,0.7682
2031,Los Angeles,ssp585,61.12,1.2423
2032,Los Angeles,ssp585,59.86,2.3297
2033,Los Angeles,ssp585,60.19,1.6504
2034,Los Angeles,ssp585,59.94,0.7401
2035,Los Angeles,ssp585,62.22,1.026
2036,Los Angeles,ssp585,58.88,1.4367
2037,Los Angeles,ssp585,61.3,0.9371
2038,Los Angeles,ssp585,61.55,1.0051
2039,Los Angeles,ssp585,61.79,0.9758
2040,Los Angeles,ssp585,61.87,0.993
2041,Los Angeles,ssp585,63.12,1.2654
2042,Los Angeles,ssp585,62.8,1.2497
2043,Los Angeles,ssp585,62.44,0.6173
2044,Los Angeles,ssp585,62.54,0.8421
2045,Los Angeles,ssp585,61.4,1.1776
2046,Los Angeles,ssp585,61.15,0.9233
2047,Los Angeles,ssp585,60.72,0.8119
2048,Los Angeles,ssp585,61.86,0.9002
2049,Los Angeles,ssp585,62.17,1.375
2050,Los Angeles,ssp585,63.6,0.8087
2051,Los Angeles,ssp585,63.54,0.6
2052,Los Angeles,ssp585,62.57,0.917
2053,Los Angeles,ssp585,62.34,0.9099
2054,Los Angeles,ssp585,62.79,1.2987
2055,Los Angeles,ssp585,62.95,1.5451
2056,Los Angeles,ssp585,64.33,0.8658
2057,Los Angeles,ssp585,64.22,0.5317
2058,Los Angeles,ssp585,62.9,0.8353
2059,Los Angeles,ssp585,63.52,0.8864
2060,Los Angeles,ssp585,65.01,0.6979
2061,Los Angeles,ssp585,61.98,1.5824
2062,Los Angeles,ssp585,63.66,0.926
2063,Los Angeles,ssp585,63.3,1.266
2064,Los Angeles,ssp585,62.44,2.1116
2065,Los Angeles,ssp585,63.61,1.3099
2066,Los Angeles,ssp585,63.79,1.1717
2067,Los Angeles,ssp585,63.32,1.2586
2068,Los Angeles,ssp585,63.46,1.1208
2069,Los Angeles,ssp585,62.75,1.7698
2070,Los Angeles,ssp585,61.59,1.7757
2071,Los Angeles,ssp585,63.77,0.9929
2072,Los Angeles,ssp585,64.87,1.0375
2073,Los Angeles,ssp585,62.82,1.3767
2074,Los Angeles,ssp585,63.25,1.4805
2075,Los Angeles,ssp585,64.01,1.8857
2076,Los Angeles,ssp585,64.08,1.5595
2077,Los Angeles,ssp585,63.76,1.2902
2078,Los Angeles,ssp585,64.54,1.2853
2079,Los Angeles,ssp585,63.5,1.3297
2080,Los Angeles,ssp585,64.25,1.0103
2081,Los Angeles,ssp585,64.16,1.8564
2082,Los Angeles,ssp585,64.52,2.1305
2083,Los Angeles,ssp585,65.18,1.3613
2084,Los Angeles,ssp585,64.32,1.3339
2085,Los Angeles,ssp585,63.1,1.5791
2086,Los Angeles,ssp585,64.28,1.6605
2087,Los Angeles,ssp585,65.93,1.5675
2088,Los Angeles,ssp585,64.93,1.6199
2089,Los Angeles,ssp585,65.15,1.4521
2090,Los Angeles,ssp585,65.25,1.3277
2091,Los Angeles,ssp585,65.33,1.225
2092,Los Angeles,ssp585,66.01,1.2638
2093,Los Angeles,ssp585,65.74,1.5779
2094,Los Angeles,ssp585,64.94,1.7126
2095,Los Angeles,ssp585,65.25,1.3216
2096,Los Angeles,ssp585,66.53,0.9096
2097,Los Angeles,ssp585,67.63,0.6964
2098,Los Angeles,ssp585,66.25,1.3967
2099,Los Angeles,ssp585,65.68,1.7191
2100,Los Angeles,ssp585,67.33,1.577
1950,New York,ssp585,49.97,3.7111
1951,New York,ssp585,49.54,3.6892
1952,New York,ssp585,48.91,4.0896
1953,New York,ssp585,48.89,3.8048
1954,New York,ssp585,48.73,4.5208
1955,New York,ssp585,49.08,4.1378
1956,New York,ssp585,49.18,3.5818
1957,New York,ssp585,48.76,3.3225
1958,New York,ssp585,47.83,4.2348
1959,New York,ssp585,47.89,4.0914
1960,New York,ssp585,46.81,3.5414
1961,New York,ssp585,47.72,3.443
1962,New York,ssp585,48.45,4.2595
1963,New York,ssp585,48.71,3.7668
1964,New York,ssp585,47.91,4.1837
1965,New York,ssp585,47.35,4.2234
1966,New York,ssp585,48.33,3.8536
1967,New York,ssp585,47.88,4.3041
1968,New York,ssp585,48.33,3.9765
1969,New York,ssp585,48.08,4.1856
1970,New York,ssp585,47.96,3.516
1971,New York,ssp585,48.48,3.7752
1972,New York,ssp585,48.98,3.6992
1973,New York,ssp585,48.27,3.4155
1974,New York,ssp585,48.62,3.6473
1975,New York,ssp585,49.08,3.8299
1976,New York,ssp585,46.69,3.2751
1977,New York,ssp585,47.69,4.1224
1978,New York,ssp585,49.37,3.8149
1979,New York,ssp585,50.17,4.1576
1980,New York,ssp585,49.31,3.6946
1981,New York,ssp585,47.75,3.3172
1982,New York,ssp585,48.59,3.82
1983,New York,ssp585,47.51,3.6033
1984,New York,ssp585,48.12,3.7064
1985,New York,ssp585,48.26,3.6128
1986,New York,ssp585,47.74,3.71
1987,New York,ssp585,48.12,3.4447
1988,New York,ssp585,48.13,3.5509
1989,New York,ssp585,49.67,4.2016
1990,New York,ssp585,48.49,4.405
1991,New York,ssp585,48.84,3.6483
1992,New York,ssp585,48.35,2.8417
1993,New York,ssp585,47.65,3.5531
1994,New York,ssp585,48.15,4.3337
1995,New York,ssp585,48.91,4.0531
1996,New York,ssp585,48.46,3.6518
1997,New York,ssp585,47.44,3.4536
1998,New York,ssp585,48.42,3.5291
1999,New York,ssp585,47.85,3.7821
2000,New York,ssp585,47.31,4.2724
2001,New York,ssp585,49.85,4.4839
2002,New York,ssp585,48.85,4.201
2003,New York,ssp585,46.56,3.3114
2004,New York,ssp585,49.46,3.5717
2005,New York,ssp585,50.12,3.7747
2006,New York,ssp585,49.98,4.1247
2007,New York,ssp585,49.01,3.9423
2008,New York,ssp585,50.77,3.6527
2009,New York,ssp585,50.51,3.7017
2010,New York,ssp585,49.35,3.5787
2011,New York,ssp585,49.63,4.4034
2012,New York,ssp585,49.07,3.8589
2013,New York,ssp585,50.52,3.7755
2014,New York,ssp585,49.41,3.1939
2015,New York,ssp585,47.92,4.1259
2016,New York,ssp585,49.38,3.6606
2017,New York,ssp585,50.5,4.2681
2018,New York,ssp585,49.84,3.467
2019,New York,ssp585,48.98,4.3807
2020,New York,ssp585,50.66,3.8638
2021,New York,ssp585,50.25,4.0928
2022,New York,ssp585,51.71,3.7808
2023,New York,ssp585,51.3,5.0128
2024,New York,ssp585,51.62,4.2221
2025,New York,ssp585,50.73,3.6928
2026,New York,ssp585,50.16,4.205
2027,New York,ssp585,49.72,3.845
2028,New York,ssp585,50.03,3.7276
2029,New York,ssp585,51.35,4.0894
2030,New York,ssp585,49.84,3.7593
2031,New York,ssp585,50.83,4.2208
2032,New York,ssp585,51.74,4.0448
2033,New York,ssp585,49.91,3.7686
2034,New York,ssp585,50.42,3.6178
2035,New York,ssp585,51.44,3.9904
2036,New York,ssp585,51.41,3.6982
2037,New York,ssp585,51.02,4.6103
2038,New York,ssp585,50.14,4.8603
2039,New York,ssp585,51.1,4.3089
2040,New York,ssp585,51.51,4.3184
2041,New York,ssp585,50.86,3.8913
2042,New York,ssp585,50.6,4.3319
2043,New York,ssp585,50.84,4.7068
2044,New York,ssp585,52.72,5.0759
2045,New York,ssp585,52.77,3.9093
2046,New York,ssp585,53.39,3.692
2047,New York,ssp585,53.69,3.9541
2048,New York,ssp585,52.99,4.5257
2049,New York,ssp585,53.46,4.3897
2050,New York,ssp585,53.34,3.311
2051,New York,ssp585,53.07,3.9396
2052,New York,ssp585,53.56,4.2508
2053,New York,ssp585,53.27,4.8945
2054,New York,ssp585,52.85,4.8968
2055,New York,ssp585,54.02,5.267
2056,New York,ssp585,52.19,4.4953
2057,New York,ssp585,53.85,4.899
2058,New York,ssp585,54.09,4.4075
2059,New York,ssp585,55.15,4.4779
2060,New York,ssp585,53.44,4.2668
2061,New York,ssp585,53.64,4.101
2062,New York,ssp585,54.14,4.2278
2063,New York,ssp585,53.35,4.6199
2064,New York,ssp585,53.23,4.5692
2065,New York,ssp585,54.44,4.4027
2066,New York,ssp585,54.84,3.9874
2067,New York,ssp585,55.67,4.2281
2068,New York,ssp585,54.7,4.615
2069,New York,ssp585,54.7,4.6448
2070,New York,ssp585,54.15,4.4504
2071,New York,ssp585,56.16,3.6426
2072,New York,ssp585,55.54,4.3875
2073,New York,ssp585,55.54,4.4297
2074,New York,ssp585,54.92,4.2744
2075,New York,ssp585,56.06,4.3098
2076,New York,ssp585,55.62,4.0754
2077,New York,ssp585,55.06,3.6266
2078,New York,ssp585,56.21,4.8233
2079,New York,ssp585,55.62,4.1197
2080,New York,ssp585,56.19,4.3495
2081,New York,ssp585,55.88,5.0603
2082,New York,ssp585,56.62,4.5346
2083,New York,ssp585,55.76,4.3734
2084,New York,ssp585,56.96,4.2284
2085,New York,ssp585,55.74,4.1578
2086,New York,ssp585,56.57,4.3941
2087,New York,ssp585,57.28,4.1652
2088,New York,ssp585,55.6,4.6099
2089,New York,ssp585,56.7,4.8312
2090,New York,ssp585,58.53,3.4689
2091,New York,ssp585,57.37,3.972
2092,New York,ssp585,55.82,3.4969
2093,New York,ssp585,58.02,3.2198
2094,New York,ssp585,59.03,4.6582
2095,New York,ssp585,57.23,5.2925
2096,New York,ssp585,56.71,4.6741
2097,New York,ssp585,57.26,4.0398
2098,New York,ssp585,57.12,4.7716
2099,New York,ssp585,57.61,5.9645
2100,New York,ssp585,58.1,4.8454
1950,Miami,ssp585,73.59,2.4015
1951,Miami,ssp585,74.49,1.9046
1952,Miami,ssp585,74.46,2.5518
1953,Miami,ssp585,74.04,3.1191
1954,Miami,ssp585,73.85,2.0431
1955,Miami,ssp585,73.67,2.3526
1956,Miami,ssp585,74.81,1.8679
1957,Miami,ssp585,74.08,2.119
1958,Miami,ssp585,73.8,2.6818
1959,Miami,ssp585,73.83,2.5709
1960,Miami,ssp585,73.78,2.3081
1961,Miami,ssp585,73.43,2.3999
1962,Miami,ssp585,74.96,1.7305
1963,Miami,ssp585,74.44,2.5129
1964,Miami,ssp585,73.78,2.5661
1965,Miami,ssp585,72.71,2.9093
1966,Miami,ssp585,74.61,2.2291
1967,Miami,ssp585,75.01,2.4599
1968,Miami,ssp585,74.32,3.1807
1969,Miami,ssp585,73.86,2.6847
1970,Miami,ssp585,74.49,2.3333
1971,Miami,ssp585,73.94,2.2402
1972,Miami,ssp585,74.03,1.9132
1973,Miami,ssp585,73.95,2.0872
1974,Miami,ssp585,75.42,2.2484
1975,Miami,ssp585,74.85,2.8332
1976,Miami,ssp585,73.36,3.0254
1977,Miami,ssp585,74.29,2.0458
1978,Miami,ssp585,74.53,1.9577
1979,Miami,ssp585,75.33,1.5525
1980,Miami,ssp585,74.95,1.5834
1981,Miami,ssp585,74.41,2.477
1982,Miami,ssp585,73.62,3.2611
1983,Miami,ssp585,73.52,3.172
1984,Miami,ssp585,74.87,2.4132
1985,Miami,ssp585,74.4,2.9677
1986,Miami,ssp585,74.25,2.3577
1987,Miami,ssp585,74.74,2.5394
1988,Miami,ssp585,74.74,2.1695
1989,Miami,ssp585,74.96,2.3393
1990,Miami,ssp585,73.45,3.0323
1991,Miami,ssp585,74.12,2.5552
1992,Miami,ssp585,74.11,2.1693
1993,Miami,ssp585,74.13,2.1749
1994,Miami,ssp585,74.38,2.3917
1995,Miami,ssp585,74.5,2.0096
1996,Miami,ssp585,73.74,2.8025
1997,Miami,ssp585,74.5,2.1964
1998,Miami,ssp585,74.4,2.445
1999,Miami,ssp585,74.6,2.9113
2000,Miami,ssp585,74.61,3.269
2001,Miami,ssp585,75.14,2.3696
2002,Miami,ssp585,74.78,2.3368
2003,Miami,ssp585,74.87,1.7721
2004,Miami,ssp585,74.4,2.3502
2005,Miami,ssp585,74.99,2.8294
2006,Miami,ssp585,75.1,2.3254
2007,Miami,ssp585,74.63,1.7393
2008,Miami,ssp585,75.2,1.963
2009,Miami,ssp585,75.73,2.0338
2010,Miami,ssp585,75.44,2.8593
2011,Miami,ssp585,76.08,2.147
2012,Miami,ssp585,76.02,2.1931
2013,Miami,ssp585,74.53,2.2033
2014,Miami,ssp585,75.01,2.0609
2015,Miami,ssp585,74.47,1.3781
2016,Miami,ssp585,74.98,2.2468
2017,Miami,ssp585,76.04,2.6204
2018,Miami,ssp585,75.55,2.562
2019,Miami,ssp585,75.13,2.367
2020,Miami,ssp585,76.17,2.4115
2021,Miami,ssp585,75.55,2.6458
2022,Miami,ssp585,75.28,2.362
2023,Miami,ssp585,75.76,2.4163
2024,Miami,ssp585,75.57,2.372
2025,Miami,ssp585,75.84,2.3582
2026,Miami,ssp585,75.41,2.7916
2027,Miami,ssp585,75.65,1.7415
2028,Miami,ssp585,76.32,1.9575
2029,Miami,ssp585,74.94,2.5674
2030,Miami,ssp585,74.73,2.3202
2031,Miami,ssp585,75.02,2.5887
2032,Miami,ssp585,75.16,2.6855
2033,Miami,ssp585,75.16,2.559
2034,Miami,ssp585,76.0,2.0379
2035,Miami,ssp585,77.07,1.8292
2036,Miami,ssp585,76.97,2.1802
2037,Miami,ssp585,76.54,2.4699
2038,Miami,ssp585,76.4,2.5867
2039,Miami,ssp585,76.85,2.5768
2040,Miami,ssp585,76.21,2.4649
2041,Miami,ssp585,75.49,2.6717
2042,Miami,ssp585,76.03,3.2273
2043,Miami,ssp585,77.3,2.0185
2044,Miami,ssp585,78.0,1.8163
2045,Miami,ssp585,77.05,2.9014
2046,Miami,ssp585,77.69,1.9644
2047,Miami,ssp585,78.15,1.8727
2048,Miami,ssp585,77.52,2.1078
2049,Miami,ssp585,76.49,3.2932
2050,Miami,ssp585,77.2,1.8184
2051,Miami,ssp585,77.52,2.3299
2052,Miami,ssp585,77.19,2.8801
2053,Miami,ssp585,77.78,2.4879
2054,Miami,ssp585,77.9,2.487
2055,Miami,ssp585,77.51,2.8946
2056,Miami,ssp585,76.98,2.6129
2057,Miami,ssp585,78.29,2.2795
2058,Miami,ssp585,77.94,2.6451
2059,Miami,ssp585,77.86,3.2868
2060,Miami,ssp585,78.37,2.0561
2061,Miami,ssp585,77.84,3.191
2062,Miami,ssp585,78.07,2.6962
2063,Miami,ssp585,78.21,1.8561
2064,Miami,ssp585,77.59,2.8516
2065,Miami,ssp585,78.5,3.0402
2066,Miami,ssp585,78.82,3.2252
2067,Miami,ssp585,78.22,3.5818
2068,Miami,ssp585,79.26,2.2153
2069,Miami,ssp585,78.68,2.3654
2070,Miami,ssp585,78.61,2.5718
2071,Miami,ssp585,79.01,2.9567
2072,Miami,ssp585,78.77,2.2466
2073,Miami,ssp585,78.48,2.5711
2074,Miami,ssp585,79.11,2.3884
2075,Miami,ssp585,78.23,2.7776
2076,Miami,ssp585,79.46,2.1055
2077,Miami,ssp585,78.48,2.5425
2078,Miami,ssp585,78.71,2.9992
2079,Miami,ssp585,79.58,2.2467
2080,Miami,ssp585,79.51,1.7689
2081,Miami,ssp585,79.26,2.1673
2082,Miami,ssp585,79.08,2.0597
2083,Miami,ssp585,79.96,2.011
2084,Miami,ssp585,79.54,3.0502
2085,Miami,ssp585,79.91,2.5238
2086,Miami,ssp585,79.7,2.0052
2087,Miami,ssp585,80.15,2.2081
2088,Miami,ssp585,79.29,2.3259
2089,Miami,ssp585,78.97,3.5741
2090,Miami,ssp585,80.42,2.7593
2091,Miami,ssp585,80.83,2.8787
2092,Miami,ssp585,80.33,2.4903
2093,Miami,ssp585,80.72,2.0952
2094,Miami,ssp585,81.0,2.5345
2095,Miami,ssp585,80.58,2.5564
2096,Miami,ssp585,80.59,2.387
2097,Miami,ssp585,80.77,1.8904
2098,Miami,ssp585,79.79,2.4008
2099,Miami,ssp585,79.58,3.0058
2100,Miami,ssp585,81.13,2.4927
1950,Phoenix,ssp585,64.09,1.0378
1951,Phoenix,ssp585,65.75,1.0047
1952,Phoenix,ssp585,63.63,1.6167
1953,Phoenix,ssp585,63.07,1.5771
1954,Phoenix,ssp585,64.63,1.3215
1955,Phoenix,ssp585,65.5,1.0765
1956,Phoenix,ssp585,63.91,1.1856
1957,Phoenix,ssp585,65.68,0.9442
1958,Phoenix,ssp585,63.99,1.8518
1959,Phoenix,ssp585,61.73,2.5279
1960,Phoenix,ssp585,63.17,1.3895
1961,Phoenix,ssp585,62.85,1.2811
1962,Phoenix,ssp585,62.07,1.2372
1963,Phoenix,ssp585,63.61,1.3031
1964,Phoenix,ssp585,63.97,0.9611
1965,Phoenix,ssp585,64.65,1.1561
1966,Phoenix,ssp585,61.81,1.8066
1967,Phoenix,ssp585,62.71,1.5206
1968,Phoenix,ssp585,63.84,1.092
1969,Phoenix,ssp585,64.23,0.9491
1970,Phoenix,ssp585,63.47,1.1239
1971,Phoenix,ssp585,64.69,0.8328
1972,Phoenix,ssp585,63.2,0.9072
1973,Phoenix,ssp585,64.39,1.0106
1974,Phoenix,ssp585,64.39,1.0548
1975,Phoenix,ssp585,63.57,1.2105
1976,Phoenix,ssp585,63.47,1.1018
1977,Phoenix,ssp585,62.9,1.9273
1978,Phoenix,ssp585,62.27,1.9975
1979,Phoenix,ssp585,64.08,1.579
1980,Phoenix,ssp585,65.92,1.1512
1981,Phoenix,ssp585,62.55,1.6259
1982,Phoenix,ssp585,63.43,1.5623
1983,Phoenix,ssp585,62.49,1.4408
1984,Phoenix,ssp585,62.6,1.0762
1985,Phoenix,ssp585,61.99,1.357
1986,Phoenix,ssp585,63.13,1.5835
1987,Phoenix,ssp585,61.87,1.4862
1988,Phoenix,ssp585,63.66,1.0259
1989,Phoenix,ssp585,63.71,1.8285
1990,Phoenix,ssp585,63.0,1.9895
1991,Phoenix,ssp585,65.82,1.1181
1992,Phoenix,ssp585,64.76,0.9586
1993,Phoenix,ssp585,64.03,0.9149
1994,Phoenix,ssp585,63.16,1.2191
1995,Phoenix,ssp585,64.33,0.9964
1996,Phoenix,ssp585,65.44,0.9155
1997,Phoenix,ssp585,64.31,0.9246
1998,Phoenix,ssp585,63.87,1.2281
1999,Phoenix,ssp585,64.55,1.3259
2000,Phoenix,ssp585,65.34,1.2636
2001,Phoenix,ssp585,63.07,1.9544
2002,Phoenix,ssp585,63.93,1.5161
2003,Phoenix,ssp585,65.05,1.5853
2004,Phoenix,ssp585,65.1,1.219
2005,Phoenix,ssp585,65.69,1.1959
2006,Phoenix,ssp585,65.28,0.8804
2007,Phoenix,ssp585,65.15,0.907
2008,Phoenix,ssp585,65.76,1.0116
2009,Phoenix,ssp585,64.17,1.1044
2010,Phoenix,ssp585,64.68,1.2649
2011,Phoenix,ssp585,66.15,1.1696
2012,Phoenix,ssp585,65.24,1.1787
2013,Phoenix,ssp585,65.4,1.151
2014,Phoenix,ssp585,66.58,1.0271
2015,Phoenix,ssp585,66.7,1.2605
2016,Phoenix,ssp585,65.17,1.4207
2017,Phoenix,ssp585,64.98,1.4653
2018,Phoenix,ssp585,64.35,1.5275
