date,city,scenario,temperature_f,precip_mm
1860-03,San Diego,ssp126,62.74,1.0061
1860-04,San Diego,ssp126,62.93,0.9932
1860-05,San Diego,ssp126,62.72,0.8545
1860-06,San Diego,ssp126,62.96,0.903
1860-07,San Diego,ssp126,62.49,1.0483
1860-08,San Diego,ssp126,62.22,1.1874
1860-09,San Diego,ssp126,61.78,1.1837
1860-10,San Diego,ssp126,61.72,1.0006
1860-11,San Diego,ssp126,61.31,1.0218
1860-12,San Diego,ssp126,61.3,0.9865
1861-01,San Diego,ssp126,61.34,0.84
1861-02,San Diego,ssp126,61.11,0.836
1861-03,San Diego,ssp126,60.76,0.8351
1861-04,San Diego,ssp126,60.76,0.9506
1861-05,San Diego,ssp126,60.97,0.9479
1861-06,San Diego,ssp126,60.81,0.7917
1861-07,San Diego,ssp126,61.2,0.7526
1861-08,San Diego,ssp126,61.49,0.6259
1861-09,San Diego,ssp126,61.44,0.6583
1861-10,San Diego,ssp126,61.65,0.6566
1861-11,San Diego,ssp126,61.49,0.7736
1861-12,San Diego,ssp126,61.28,0.7777
1862-01,San Diego,ssp126,61.14,0.7801
1862-02,San Diego,ssp126,61.1,0.7817
1862-03,San Diego,ssp126,61.15,0.7819
1862-04,San Diego,ssp126,60.86,0.6691
1862-05,San Diego,ssp126,61.14,0.6669
1862-06,San Diego,ssp126,61.35,1.0022
1862-07,San Diego,ssp126,61.32,1.0648
1862-08,San Diego,ssp126,60.74,1.0547
1862-09,San Diego,ssp126,60.84,0.9593
1862-10,San Diego,ssp126,60.56,1.0021
1862-11,San Diego,ssp126,60.75,0.8795
1862-12,San Diego,ssp126,60.93,0.8744
1863-01,San Diego,ssp126,60.82,0.8778
1863-02,San Diego,ssp126,60.69,0.8758
1863-03,San Diego,ssp126,60.36,0.9704
1863-04,San Diego,ssp126,60.66,0.9715
1863-05,San Diego,ssp126,60.38,0.9742
1863-06,San Diego,ssp126,60.45,0.6578
1863-07,San Diego,ssp126,60.41,0.5403
1863-08,San Diego,ssp126,60.54,0.8034
1863-09,San Diego,ssp126,60.68,0.811
1863-10,San Diego,ssp126,61.17,0.7166
1863-11,San Diego,ssp126,61.31,0.7783
1863-12,San Diego,ssp126,61.39,0.7812
1864-01,San Diego,ssp126,61.68,0.7725
1864-02,San Diego,ssp126,61.98,0.7722
1864-03,San Diego,ssp126,62.37,0.6833
1864-04,San Diego,ssp126,62.35,0.6957
1864-05,San Diego,ssp126,62.38,0.7948
1864-06,San Diego,ssp126,62.33,0.9087
1864-07,San Diego,ssp126,62.41,0.9652
1864-08,San Diego,ssp126,62.64,0.9026
1864-09,San Diego,ssp126,62.95,1.0147
1864-10,San Diego,ssp126,62.82,1.1598
1864-11,San Diego,ssp126,62.64,1.2713
1864-12,San Diego,ssp126,62.7,1.2655
1865-01,San Diego,ssp126,62.55,1.2737
1865-02,San Diego,ssp126,62.48,1.2752
1865-03,San Diego,ssp126,62.52,1.3021
1865-04,San Diego,ssp126,62.29,1.3348
1865-05,San Diego,ssp126,62.68,1.2338
1865-06,San Diego,ssp126,62.6,1.1101
1865-07,San Diego,ssp126,62.86,0.9475
1865-08,San Diego,ssp126,63.29,0.9015
1865-09,San Diego,ssp126,63.32,0.7915
1865-10,San Diego,ssp126,63.18,0.671
1865-11,San Diego,ssp126,63.31,0.5427
1865-12,San Diego,ssp126,63.02,0.6331
1866-01,San Diego,ssp126,63.38,0.6242
1866-02,San Diego,ssp126,63.19,0.6243
1866-03,San Diego,ssp126,63.13,0.5922
1866-04,San Diego,ssp126,63.11,0.5496
1866-05,San Diego,ssp126,62.91,0.6735
1866-06,San Diego,ssp126,62.63,0.6871
1866-07,San Diego,ssp126,62.52,0.6908
1866-08,San Diego,ssp126,62.41,0.7757
1866-09,San Diego,ssp126,62.2,0.9239
1866-10,San Diego,ssp126,62.04,1.0966
1866-11,San Diego,ssp126,61.84,1.0277
1866-12,San Diego,ssp126,61.91,0.9468
1867-01,San Diego,ssp126,61.58,0.9514
1867-02,San Diego,ssp126,61.62,0.952
1867-03,San Diego,ssp126,61.56,0.951
1867-04,San Diego,ssp126,61.4,0.9438
1867-05,San Diego,ssp126,60.97,0.8247
1867-06,San Diego,ssp126,61.22,0.8032
1867-07,San Diego,ssp126,61.08,0.8608
1867-08,San Diego,ssp126,61.06,0.7125
1867-09,San Diego,ssp126,61.18,0.5847
